C (t = 0),0,1,2,3,4,5,6,7,8
40.4090422225807,1282.91613319973,1282.91613319973,1282.91613319973,1282.91613319973,1282.91613319973,1282.91579790009,0,0,0
22.9216917066226,1015.27994211003,1015.27994211003,1015.27994211003,1015.27994211003,1015.27994211003,1015.27968180245,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
47.7334123643818,1499.51897127787,1499.51897127787,1499.51897127787,1499.51897127787,1499.51897127787,1499.51857543394,0,0,0
49.8667867719609,1239.71544035896,1239.71544035896,1239.71544035896,1239.71544035896,1239.71544035896,1239.71510297876,0,0,0
0,0,0,0,0,0,0,0,0,0
31.8012699255275,1013.55377356821,1013.55377356821,1013.55377356821,1013.55377356821,1013.55377356821,1013.55350446432,0,0,0
53.1331651343479,1310.38123512304,1310.38123512304,1310.38123512304,1310.38123512304,1310.38123512304,1310.38087539136,0,0,0
46.8054125766056,1185.20975984363,1185.20975984363,1185.20975984363,1185.20975984363,1185.20975984363,1185.20943847804,0,0,0
33.0265601356821,1029.95857786944,1029.95857786944,1029.95857786944,1029.95857786944,1029.95857786944,1029.95830604612,0,0,0
29.4030858918864,882.148492200312,882.148492200312,882.148492200312,882.148492200312,882.148492200312,882.148255669492,0,0,0
23.2628855490348,711.136304271485,711.136304271485,711.136304271485,711.136304271485,711.136304271485,711.136114686042,0,0,0
35.4733729835888,936.007680650022,936.007680650022,936.007680650022,936.007680650022,936.007680650022,936.0074276671,0,0,0
0,0,0,0,0,0,0,0,0,0
16.0090961483158,595.352650160761,595.352650160761,595.352650160761,595.352650160761,595.352650160761,595.352494174034,0,0,0
50.1333247641864,1263.97207329215,1263.97207329215,1263.97207329215,1263.97207329215,1263.97207329215,1263.97173378192,0,0,0
20.2432044382319,717.228704423088,717.228704423088,717.228704423088,717.228704423088,717.228704423088,717.228514619772,0,0,0
44.0208631423871,994.49482883757,994.49482883757,994.49482883757,994.49482883757,994.49482883757,994.494553412122,0,0,0
0,0,0,0,0,0,0,0,0,0
7.72054617857876,371.581112180693,371.581112180693,371.581112180693,371.581112180693,371.581112180693,371.581014881675,0,0,0
40.0948772021931,1035.28876510853,1035.28876510853,1035.28876510853,1035.28876510853,1035.28876510853,1035.28849252191,0,0,0
0,0,0,0,0,0,0,0,0,0
11.0843524441539,529.38389805276,529.38389805276,529.38389805276,529.38389805276,529.38389805276,529.383757966021,0,0,0
37.8406263868564,949.74612077426,949.74612077426,949.74612077426,949.74612077426,949.74612077426,949.745864004499,0,0,0
15.8818218121612,616.378985178408,616.378985178408,616.378985178408,616.378985178408,616.378985178408,616.378825549423,0,0,0
30.6693149128891,904.637530507029,904.637530507029,904.637530507029,904.637530507029,904.637530507029,904.63729833662,0,0,0
48.8967653141708,1226.0131858906,1226.0131858906,1226.0131858906,1226.0131858906,1226.0131858906,1226.01286939887,0,0,0
13.5356727075235,750.32211244705,750.32211244705,750.32211244705,750.32211244705,750.32211244705,750.321930263337,0,0,0
32.3596739537015,1109.43901191077,1109.43901191077,1109.43901191077,1109.43901191077,1109.43901191077,1109.43872001699,0,0,0
58.0872596533576,1377.90486929712,1377.90486929712,1377.90486929712,1377.90486929712,1377.90486929712,1377.904492323,0,0,0
0,0,0,0,0,0,0,0,0,0
25.2452864227076,1029.73756688065,1029.73756688065,1029.73756688065,1029.73756688065,1029.73756688065,1029.73731113694,0,0,0
0,0,0,0,0,0,0,0,0,0
26.335391776877,1234.68703853865,1234.68703853865,1234.68703853865,1234.68703853865,1234.68703853865,1234.68674969664,0,0,0
