C (t = 0),0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0,0
22.9216917066226,3152.54328145092,3152.54328145092,3152.54328145092,3152.54328145092,3152.54328145092,3152.54301868895,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
51.5239663884513,3239.07478133236,3239.07478133236,3239.07478133236,3239.07478133236,3239.07478133236,3239.0744578619,0,0,0
47.7334123643818,3017.61224504348,3017.61224504348,3017.61224504348,3017.61224504348,3017.61224504348,3017.61193866903,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
29.4030858918864,2790.54741720112,2790.54741720112,2790.54741720112,2790.54741720112,2790.54741720112,2790.54717102261,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
44.0208631423871,3055.45554274885,3055.45554274885,3055.45554274885,3055.45554274885,3055.45554274885,3055.45525813293,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
11.0843524441539,1878.78996040824,1878.78996040824,1878.78996040824,1878.78996040824,1878.78996040824,1878.78979537825,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
13.5356727075235,2874.50299604055,2874.50299604055,2874.50299604055,2874.50299604055,2874.50299604055,2874.50278401858,0,0,0
0,0,0,0,0,0,0,0,0,0
58.0872596533576,3283.08401561883,3283.08401561883,3283.08401561883,3283.08401561883,3283.08401561883,3283.08368864149,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
18.0790869226814,2924.7790985445,2924.7790985445,2924.7790985445,2924.7790985445,2924.7790985445,2924.77887965614,0,0,0
0,0,0,0,0,0,0,0,0,0
